CODIGO_CARRERA,UNI_CODIGO,NOMBRE_CARRERA,NOMBRE_UNIVERSIDAD,REGION_CASA_MATRIZ,%_NOTAS,%_Ranking,%_LENG,%_MATE1,%_MATE2,%_HYCS,%_CIEN,EXIGE_MATE2,PROM_MINIMO_LENMAT,PONDERADO_MINIMO,VACANTES_1SEM,SC_1S,VACANTES_2SEM,SC_2S,RESTRINGE_SEXO,PRUEBA_ESPECIAL,TIPO_PE,PONDERACION_PE,PO_ALTERNATIVA,MAX_POST_UNIV,EXCLUYE_DESDE_PREFERENCIA,CDP_VACANTES_ESPECIALES,CAR_PEDAGOGIA,CAR_MIN_RKG,CAR_SEL_PEDA,PACE,CAR_VACANTES_PACE,REG_CODIGO,VACANTES_GENERO,CAR_CIENCIAS_TECNOLOGIA
50508,50,INGENIERÃA COMERCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,120,,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50510,50,ODONTOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,20,20,30,0,10.0,10.0,N,458,,85,54.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50519,50,BACHILLERATO EN CIENCIAS DE LA SALUD,UNIVERSIDAD SAN SEBASTIAN,13,20,25,20,25,0,10.0,10.0,N,458,,80,18.0,,,,N,,,S,21,21,,N,,0,N,0,14,,N
50521,50,ENFERMERÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,110,90.0,,,,N,,,S,21,21,,N,,0,N,0,14,,N
50522,50,FONOAUDIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,30,30,10,0,10.0,10.0,N,458,,60,,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50524,50,KINESIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,15,20,35,20,0,10.0,10.0,N,458,,80,25.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50525,50,MEDICINA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,15,40,0,,15.0,N,500,,60,34.0,,,,N,,,N,21,21,,N,,0,N,0,14,,N
50526,50,NUTRICIÃ“N Y DIETÃ‰TICA,UNIVERSIDAD SAN SEBASTIAN,13,15,30,35,10,0,10.0,10.0,N,458,,60,38.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50527,50,OBSTETRICIA,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,80,38.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50528,50,PSICOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,40,15,0,10.0,10.0,N,458,,150,60.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50529,50,QUÃMICA Y FARMACIA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,25,30,0,10.0,10.0,N,458,,50,30.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50530,50,TECNOLOGÃA MÃ‰DICA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,25,0,15.0,15.0,N,458,,60,25.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50531,50,TERAPIA OCUPACIONAL,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,60,27.0,,,,N,,,S,21,21,1.0,N,,0,N,0,14,,N
50801,50,ARQUITECTURA,UNIVERSIDAD SAN SEBASTIAN,13,10,15,35,30,0,10.0,10.0,N,458,,150,65.0,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,N
50802,50,DERECHO,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,10,0,20.0,20.0,N,458,,250,100.0,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,N
50803,50,EDUCACIÃ“N PARVULARIA,UNIVERSIDAD SAN SEBASTIAN,13,20,20,30,20,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,13,,N
50804,50,INGENIERÃA CIVIL,UNIVERSIDAD SAN SEBASTIAN,13,10,10,20,45,5,10.0,10.0,S,458,,60,,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,S
50805,50,INGENIERÃA CIVIL EN MINAS,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,90,25.0,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,S
50806,50,INGENIERÃA CIVIL INDUSTRIAL,UNIVERSIDAD SAN SEBASTIAN,13,10,25,15,35,5,10.0,10.0,S,458,,110,10.0,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,S
50807,50,INGENIERÃA CIVIL INFORMÃTICA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,120,115.0,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,S
50808,50,INGENIERÃA COMERCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,200,,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,N
50810,50,ODONTOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,230,200.0,,,,N,,,S,21,21,,N,,0,N,0,13,,N
50811,50,PEDAGOGÃA EN EDUCACIÃ“N BÃSICA,UNIVERSIDAD SAN SEBASTIAN,13,20,25,30,15,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,13,,N
50812,50,PEDAGOGÃA EN EDUCACIÃ“N DIFERENCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,13,,N
50815,50,PEDAGOGÃA EN INGLÃ‰S,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,13,,N
50816,50,LICENCIATURA EN HISTORIA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,30,,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,N
50832,50,ADMINISTRACIÃ“N PÃšBLICA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,10,0,30.0,30.0,N,458,,50,,,,,N,,,S,21,21,1.0,N,,0,N,0,13,,N
50833,50,MEDICINA VETERINARIA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,35,25,0,10.0,10.0,N,458,,300,160.0,,,,N,,,S,21,21,,N,,0,N,0,13,,N
