AGNO,RBD,DGV_RBD,NOM_RBD,TIPO_SOST,COD_REG_RB,NOM_REG_RB,COD_PRO_RB,COD_COM_RB,NOM_COM_RB,COD_DEPROV,NOM_DEPROV,TIPO_DEPEN,DIRECCION,NUMERO,REFERENCIA,LATITUD,LONGITUD,MAT_PARV,MAT_BAS_RE,MAT_BAS_AD,MAT_ESP,MAT_MHC_RE,MAT_MHC_AD,MAT_MTP_RE,MAT_MTP_AD,MAT_TOTAL,MAT_HOM_TO,MAT_MUJ_TO,MAT_SI_TOT,CUR_SIM_TO,CUR_COMB_T
2021,1759,0,COLEGIO SAN LUIS DE MIRAFLORES,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,PASAJE 19,3034.0,"AVENIDA FREI , MIRAFLORES ALTO,VIÑA DEL MAR. - FRENTE A ANTENA DE TELEFONÍA CELULAR MOVISTAR",-33.022049,-71.514397,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,89.0,69.0,0.0,8.0,0.0
2021,31455,2,ESC. ESP. DE LENGUAJE Y JARDIN INFANTIL PEUMAYEN,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AUGUSTO DHALMAR,925.0,"VILLA INDEPENDENCIA, PARADERO 10 ACHUPALLAS , CERCA ESCUELA VILLA INDEPENDENCIA",-33.022,-71.49614,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,35.0,20.0,15.0,0.0,2.0,1.0
2021,1741,8,LICEO SANTA TERESA DE LOS ANDES,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AVENIDA FREI,3388.0,"MIRAFLORES ALTO, CERCA DE 5ª COMISARIA DE CARABINEROS",-33.021832,-71.517273,0.0,312.0,0.0,0.0,156.0,0.0,0.0,0.0,468.0,218.0,250.0,0.0,12.0,0.0
2021,14324,3,COLEGIO WILLIAM JAMES,0.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,2 NORTE,770.0,,-33.021812,-71.55044,1.0,25.0,0.0,0.0,19.0,0.0,0.0,0.0,45.0,29.0,16.0,0.0,12.0,0.0
2021,40212,5,ESCUELA ESPECIAL DE LENGUAJE CHISPITAS ALEGRE,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CALLE PEDRO AGUIRRE CERDA,2041.0,"(LOTE 257) POBLACION EL ESFUERZO FORESTAL ALTO VIÑA DEL MAR, PARADERO B FORESTAL ALTO",-33.021687,-71.49491,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,77.0,38.0,39.0,0.0,7.0,0.0
2021,12323,4,CENTRO EDUCACIONAL CRISOL,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CALLE LIBERTAD,115.0,"AMPLIACION VILLA DULCE, VIÑA DEL MAR",-33.021622,-71.504677,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,122.0,111.0,0.0,8.0,0.0
2021,16907,2,JARDIN INFANTIL KINTU MONTESSORI,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,AVENIDA EL LUCUMO,3042.0,"MIRAFLORES ALTO, FRENTE IGLESIA SAGRADO CORAZÓN",-33.02154,-71.517028,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,5.0,0.0,7.0,0.0
2021,1716,7,ESCUELA VILLA INDEPENDENCIA,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,CALLE GABRIELA MISTRAL,950.0,"VILLA INDEPENDENCIA, VIÑA DEL MAR, GABRIELA MISTRAL ESQUINA AUGUSTO D`HALMAR Nº950",-33.021511,-71.501556,24.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,138.0,133.0,0.0,15.0,1.0
2021,14428,2,VINA DEL MAR COLLEGE,9.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,6 Y MEDIO ORIENTE,216.0,,-33.021508,-71.54232,0.0,60.0,0.0,0.0,52.0,0.0,0.0,0.0,112.0,66.0,46.0,0.0,7.0,3.0
2021,1676,4,LICEO BICENTENARIO DE VIÑA DEL MAR,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,DOS NORTE,753.0,"DOS NORTE Nº 753, ENTRE AVENIDA LIBERTAD Y 1 ORIENTE   VIÑA DEL MAR",-33.021469,-71.550537,0.0,49.0,0.0,0.0,714.0,0.0,0.0,0.0,763.0,344.0,419.0,0.0,24.0,0.0
